"outcome_x","instrument","transform_id","transform_label","exposure_var","instrument_var","F_partial","R2_first","N","period"
"p0__import__CHN__2000__level_t","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",3.034343901922,0.988224867331207,2016,"2000_2007"
"p0__import__CHN__2000__diff_t","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",446.302113176535,0.828940316391202,1728,"2000_2007"
"p0__import__CHN__2000__difflag_t","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",1284.93830462266,0.968894717846084,1728,"2000_2007"
"p0__import__CHN__2000__log_t","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",11.1213609488638,0.987955915323108,2016,"2000_2007"
"p0__import__CHN__2000__logdiff_t","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",332.05417757775,0.944169302230244,2016,"2000_2007"
"p0__import__CHN__2000__logdifflag_t","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",1263.95489829553,0.970938030692135,1728,"2000_2007"
"p0__import__CHN__2000__level_xtlag","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",1073.44073232353,0.99105434504332,2016,"2000_2007"
"p0__import__CHN__2000__diff_xtlag","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",1284.93830462266,0.968894717846084,1728,"2000_2007"
"p0__import__CHN__2000__difflag_xtlag","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",1494.89930671929,0.973644088130343,1440,"2000_2007"
"p0__import__CHN__2000__log_xtlag","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",801.718540499651,0.990018344786658,2016,"2000_2007"
"p0__import__CHN__2000__logdiff_xtlag","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",1300.06905313614,0.971286519445468,2016,"2000_2007"
"p0__import__CHN__2000__logdifflag_xtlag","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",1233.81501058629,0.976123485496847,1728,"2000_2007"
"p0__import__CHN__2000__level_t","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",41.1058947162956,0.98462527469052,1440,"2008_2012"
"p0__import__CHN__2000__diff_t","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",95.04577873874,0.915276364028832,1440,"2008_2012"
"p0__import__CHN__2000__difflag_t","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",800.006570002207,0.966837033227249,1440,"2008_2012"
"p0__import__CHN__2000__log_t","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",28.2576353150697,0.983944377611379,1440,"2008_2012"
"p0__import__CHN__2000__logdiff_t","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",65.9583698018827,0.908355329685669,1440,"2008_2012"
"p0__import__CHN__2000__logdifflag_t","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",755.36209268671,0.963952422530517,1440,"2008_2012"
"p0__import__CHN__2000__level_xtlag","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",1193.54579680953,0.985627893327032,1440,"2008_2012"
"p0__import__CHN__2000__diff_xtlag","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",800.006570002207,0.966837033227249,1440,"2008_2012"
"p0__import__CHN__2000__difflag_xtlag","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",1428.07656408955,0.944327684690715,1440,"2008_2012"
"p0__import__CHN__2000__log_xtlag","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",856.799736513011,0.982902603578802,1440,"2008_2012"
"p0__import__CHN__2000__logdiff_xtlag","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",755.36209268671,0.963952422530517,1440,"2008_2012"
"p0__import__CHN__2000__logdifflag_xtlag","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",1587.63784677412,0.947094244335949,1440,"2008_2012"
"p0__import__CHN__2000__level_t","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",329.555659453824,0.982146787194288,4320,"2000_2015"
"p0__import__CHN__2000__diff_t","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",428.524813048311,0.939734477065243,4032,"2000_2015"
"p0__import__CHN__2000__difflag_t","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",3109.54496060595,0.970910547804392,4032,"2000_2015"
"p0__import__CHN__2000__log_t","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",294.605478927078,0.982298513772663,4320,"2000_2015"
"p0__import__CHN__2000__logdiff_t","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",293.709673366519,0.946863161914005,4320,"2000_2015"
"p0__import__CHN__2000__logdifflag_t","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",2925.46508322435,0.970099260537755,4032,"2000_2015"
