"table_id","outcome","outcome_var","flow","partner","base_year","period","iv_label","transform_id","transform_label","exposure_var","instrument_var","x_timing","coef","se","N","clusters","fe_flags"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__level_t","p2","p2_level","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-2.31964801420047e-06,2.5960169085569e-06,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__diff_t","p2","p2_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",7.27101432198305e-08,3.27539060418536e-07,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__difflag_t","p2","p2_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",2.88228034246512e-07,2.3109269250472e-07,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__log_t","p2","p2_log","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-23.9219610310016,25.6576525806745,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdiff_t","p2","p2_log_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",20.8174135476419,9.78583310832377,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",16.8061473468447,5.64275943878506,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__level_xtlag","p2","p2_level","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-1.90102662549434e-07,1.82579991025158e-07,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__diff_xtlag","p2","p2_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-4.91361403293949e-08,2.21310465231083e-07,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-4.67881671187607e-09,2.32110512434196e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__log_xtlag","p2","p2_log","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-4.26524934148149,4.29514266945558,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdiff_xtlag","p2","p2_log_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-12.9525559764101,6.11899359131171,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdifflag_xtlag","p2","p2_log_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-14.0486127336781,6.57544524775576,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__level_t","p2","p2_level","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-9.49019594526284e-07,7.13286455591939e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__diff_t","p2","p2_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",1.44293811755547e-06,7.54454730226464e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__difflag_t","p2","p2_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",4.99305850424183e-07,2.92122570360762e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__log_t","p2","p2_log","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",5.89926132069326,16.2869406760306,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdiff_t","p2","p2_log_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",3.82654037604867,18.2670738818521,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",4.04152810872147,5.35379821040539,1440,288,"district_bps_2000+year"
